L;0;0;0;0;0.6;0.6;5.19994;0;0;0;0;0.312243;0.58034;
R;0.312243;0.58034;0;0;0.859997;0.600045;5.19975;0.00179686;1.01489;0.554329;4.89281;0;0;
L;1.11254;0.821251;6.65259;1.97674;1.11998;0.600225;5.19943;0.00538996;0;0;0;1.17385;0.481073;
R;1.71128;0.534537;10.3167;-0.0105177;1.37996;0.600629;5.19898;0.0107781;1.04751;0.38924;4.51132;0;0;
L;1.26278;0.693959;4.61321;2.6006;1.6399;0.601347;5.19839;0.0179597;0;0;0;1.65063;0.62469;
R;1.60752;0.813983;4.975;2.20633;1.89982;0.60247;5.19766;0.0269323;1.6983;0.29828;5.20999;0;0;
L;1.98946;0.702494;5.39616;1.08095;2.1597;0.604086;5.19678;0.0376932;0;0;0;2.18882;0.648739;
R;2.31046;0.746268;5.51682;0.946256;2.41954;0.606284;5.19573;0.0502389;2.04438;0.276002;5.04387;0;0;
L;2.5416;0.735105;5.29901;0.729449;2.67932;0.609155;5.1945;0.0645654;0;0;0;2.65526;0.66598;
R;2.83357;0.757179;5.35238;0.647881;2.93904;0.612786;5.19309;0.080668;2.99092;0.217668;5.19181;0;0;
L;3.11494;0.730086;5.33672;0.419564;3.19869;0.617267;5.19147;0.0985415;0;0;0;3.01222;0.637046;
R;3.36179;0.735799;5.30674;0.385493;3.45825;0.622685;5.18963;0.11818;3.59388;0.135452;5.16175;0;0;
L;3.65898;0.644666;5.33376;0.00783774;3.71772;0.62913;5.18754;0.139576;0;0;0;3.89365;0.311793;
R;3.9787;0.565033;5.43076;-0.26584;3.97708;0.636689;5.18519;0.162724;4.25555;0.16484;5.43333;0;0;
L;4.26288;0.586049;5.47848;-0.161551;4.23632;0.645449;5.18256;0.187614;0;0;0;4.30935;0.578564;
R;4.54573;0.575102;5.49282;-0.172863;4.49542;0.655498;5.17962;0.214238;4.67026;0.14818;5.12085;0;0;
L;4.79521;0.597018;5.34028;-0.0921347;4.75437;0.666921;5.17634;0.242587;0;0;0;4.35143;0.899174;
R;4.97576;0.684633;5.19702;0.191231;5.01315;0.679804;5.1727;0.272649;5.25142;0.127163;4.82591;0;0;
L;5.22025;0.677832;5.04539;0.130769;5.27175;0.694234;5.16867;0.304413;0;0;0;5.51894;0.648233;
R;5.52722;0.670286;5.13521;0.0820324;5.53013;0.710295;5.16422;0.337868;5.26729;0.121683;5.42351;0;0;
L;5.79561;0.676512;5.27133;0.0994464;5.78828;0.728072;5.15932;0.372999;0;0;0;6.022;0.708619;
R;6.09937;0.687792;5.33644;0.110531;6.04618;0.747647;5.15393;0.409793;5.90575;0.0633;4.87968;0;0;
L;6.32883;0.619963;5.13026;-0.0979921;6.30379;0.769103;5.14803;0.448233;0;0;0;6.34249;0.948833;
R;6.58229;0.725119;5.11591;0.194783;6.5611;0.792523;5.14157;0.488305;6.67392;0.125614;5.00687;0;0;
L;6.83005;0.756688;5.06476;0.249697;6.81808;0.817988;5.13452;0.52999;0;0;0;6.78214;0.714036;
R;7.0755;0.755136;5.05309;0.214011;7.07469;0.845578;5.12685;0.573269;7.31844;0.0862923;4.64911;0;0;
L;7.30806;0.736402;4.8782;0.12461;7.3309;0.875373;5.11851;0.618123;0;0;0;7.13735;0.957217;
R;7.51752;0.825631;4.81423;0.342227;7.58668;0.907449;5.10946;0.664531;8.12494;0.101047;5.46424;0;0;
L;7.8351;0.839986;5.15903;0.350038;7.84199;0.941886;5.09966;0.712469;0;0;0;7.80533;0.719126;
R;8.09015;0.813248;5.15813;0.237829;8.0968;0.978759;5.08907;0.761915;8.45095;0.104862;4.75054;0;0;
L;8.32897;0.83029;4.97765;0.238273;8.35106;1.01814;5.07766;0.812843;0;0;0;8.24796;0.840322;
R;8.56325;0.847672;4.95297;0.253549;8.60472;1.06011;5.06537;0.865226;8.57549;0.165312;5.5806;0;0;
L;8.85141;0.950107;5.23507;0.498549;8.85775;1.10473;5.05216;0.919037;0;0;0;8.74615;1.04858;
R;9.09245;1.01546;5.19765;0.601561;9.1101;1.15208;5.03798;0.974245;9.94666;0.115056;5.2408;0;0;
L;9.38722;1.05483;5.2447;0.620209;9.36172;1.20223;5.0228;1.03082;0;0;0;9.25579;1.04913;
R;9.62619;1.08657;5.20593;0.624352;9.61255;1.25524;5.00656;1.08873;10.216;0.14981;5.31165;0;0;
L;9.91002;1.16655;5.25582;0.745225;9.86254;1.31118;4.98922;1.14794;0;0;0;10.0484;1.44598;
R;10.1907;1.31258;5.2754;1.01115;10.1117;1.37011;4.97074;1.20841;10.6781;0.162309;4.80661;0;0;
L;10.4231;1.3978;5.01771;1.07333;10.3598;1.4321;4.95106;1.2701;0;0;0;10.2492;1.45907;
R;10.6412;1.48118;4.95965;1.14951;10.6069;1.49721;4.93014;1.33298;11.0406;0.154906;4.56401;0;0;
L;10.8595;1.55199;4.72569;1.15921;10.853;1.56549;4.90794;1.39701;0;0;0;10.7313;1.45265;
R;11.0758;1.57316;4.69687;1.07223;11.0979;1.637;4.8844;1.46213;11.5668;0.123838;5.14205;0;0;
L;11.3568;1.61467;4.88905;1.05382;11.3416;1.71179;4.85948;1.52832;0;0;0;11.587;1.61462;
R;11.6428;1.65965;4.95939;1.03039;11.584;1.78992;4.83313;1.59551;11.5791;0.133321;4.86948;0;0;
L;11.8694;1.6989;4.86316;0.993818;11.8251;1.87144;4.80531;1.66366;0;0;0;11.7788;1.74591;
R;12.0946;1.77137;4.83032;1.05068;12.0647;1.95639;4.77598;1.73273;12.3248;0.175289;5.27755;0;0;
L;12.3633;1.86028;4.99073;1.15404;12.3029;2.04482;4.74508;1.80265;0;0;0;12.3226;1.78353;
R;12.6082;1.88721;4.98675;1.08066;12.5394;2.13677;4.71257;1.87338;12.6709;0.140728;5.31674;0;0;
L;12.8732;1.93579;5.09365;1.07794;12.7743;2.23227;4.67842;1.94485;0;0;0;12.5924;2.17509;
R;13.068;2.10139;4.98023;1.35171;13.0075;2.33137;4.64258;2.01701;13.4856;0.198883;5.44642;0;0;
L;13.3464;2.21477;5.12905;1.47647;13.2388;2.43409;4.605;2.08981;0;0;0;13.0875;2.40708;
R;13.548;2.38053;5.02548;1.70186;13.4682;2.54047;4.56565;2.16317;13.0871;0.241065;4.51275;0;0;
